CheckIn,CheckOut,Price,Super_host,Latitude,Longitude,Accuracy_stars,Communication_stars,Cleanliness_stars,Location_stars,CheckIn_stars,Value_stars,Bathrooms_num_int,shared_bathroom,Bedrooms_int,Beds_int,shared_room,air,bunk,couch,double,floor,king,queen,single,sofa,Unnamed: 26,Air conditioning,BBQ grill,Baby bath,Baby monitor,Babysitter recommendations,Bathtub,Beach essentials,Beachfront,Bed linens,Breakfast,Building staff,Cable TV,Carbon monoxide detector,Changing table,Children’s books and toys,Children’s dinnerware,Cleaning before checkout,Coffee maker,Cooking basics,Crib,Dishes and silverware,Dishwasher,Dryer,EV charger,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,Fireplace guards,First aid kit,Free parking on premises,Free street parking,Game console,Garden or backyard,Gym,Hair dryer,Hangers,Heating,High chair,Host greets you,Hot tub,Hot water,Indoor fireplace,Iron,Keypad,Kitchen,Lake access,Laptop friendly workspace,Lock on bedroom door,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,Outlet covers,Oven,Pack ’n Play/travel crib,Paid parking off premises,Paid parking on premises,Patio or balcony,Pocket wifi,Pool,Private entrance,Private living room,Refrigerator,Room-darkening shades,Shampoo,Single level home,Ski-in/Ski-out,Smart lock,Smoke detector,Stair gates,Stove,TV,Table corner guards,Washer,Waterfront,Wifi,Window guards,Reviewers_no,Title,normalized_price,geom,month,address,neighborhood
2019-03-14,2019-03-19,15.0,0,29.959609999999998,31.25858,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1,2.0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,-1,Dad Haus!x,1.3636363636363635,"29.959609999999998,31.25858",3,"المعادى, 9, القاهرة, محافظة القاهرة, 560037, مصر", 9
2019-03-14,2019-03-19,12.0,0,30.0576,31.487790000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,1,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,-1,"Apartment in Rehab City, Cairo.",1.0909090909090908,"30.0576,31.487790000000004",3,"القاهرة, مدينة القاهرة الجديدة, محافظة القاهرة, 11865, مصر", مدينة القاهرة الجديدة
2019-03-14,2019-03-19,22.0,0,30.06085,31.4954,4.0,5.0,3.5,4.5,5.0,4.0,1.0,1,1,1.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,6,Sunny and friendly apartment close to the airport,2.0,"30.06085,31.4954",3,"القاهرة, مدينة القاهرة الجديدة, محافظة القاهرة, 11865, مصر", مدينة القاهرة الجديدة
2019-03-14,2019-03-19,19.0,0,30.06284,31.517429999999997,5.0,5.0,5.0,5.0,5.0,5.0,1.5,0,1,2.0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,4,Cozy 2 persons budget room in luxurious/safe area,1.7272727272727273,"30.06284,31.517429999999997",3,"امتداد الرحاب, القاهرة, مدينة القاهرة الجديدة, محافظة القاهرة, مصر", القاهرة
2019-03-14,2019-03-19,23.0,0,30.06263,31.48585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,Girls apartment - Sunny and calm apartment,2.090909090909091,"30.06263,31.48585",3,"Abu Bakr Al-Saddiq, القاهرة, مدينة القاهرة الجديدة, محافظة القاهرة, 11865, مصر", القاهرة
2019-03-14,2019-03-19,25.0,0,30.05735,31.50587,5.0,5.0,5.0,4.5,5.0,5.0,1.0,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,8,My little heaven,2.272727272727273,"30.05735,31.50587",3,"امتداد الرحاب, القاهرة, مدينة القاهرة الجديدة, محافظة القاهرة, 11865, مصر", القاهرة
2019-03-14,2019-03-19,40.0,0,30.048000000000002,31.238000000000003,4.0,4.5,4.5,5.0,5.0,4.5,1.0,0,1,1.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,19,PRIVATE TWIN OR DOUBLE ROOM. CITY VIEW.FREE WIFI,3.636363636363636,"30.048000000000002,31.238000000000003",3,"Karim Al-Dawla, باب اللوق, القاهرة, محافظة القاهرة, 11613, مصر", باب اللوق
2019-03-14,2019-03-19,37.0,1,30.10615,31.377359999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,2,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,-1,Cozy Apartment near the airport,3.363636363636364,"30.10615,31.377359999999996",3,"الحلمية, القاهرة, محافظة القاهرة, 11736, مصر", القاهرة
2019-03-14,2019-03-19,65.0,0,30.0199,31.493940000000002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,-1,"In prime location Studio in The Village,New Cairo",5.909090909090909,"30.0199,31.493940000000002",3,"مول بوينت 90, شارع العبور, القاهرة, مدينة القاهرة الجديدة, محافظة القاهرة, 11865, مصر", شارع العبور
2019-03-14,2019-03-19,11.0,1,29.97942,31.27873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,-1,Maadi club house ladies hostel room 304,1.0,"29.97942,31.27873",3,"الخليفة, القاهرة, محافظة القاهرة, NONE, مصر", القاهرة
